lat,lon,count
40.85,-74.091,1
40.68,-73.98,5
40.691,-73.97,5
40.68,-73.981,28
40.691,-73.971,8
40.68,-73.982,25
40.861,-74.086,1
40.68,-73.983,1
40.691,-73.972,20
40.583,-73.96,1
40.691,-73.973,9
40.68,-73.984,25
40.594,-73.95,1
40.68,-73.985,1
40.691,-73.974,4
40.594,-73.951,1
40.68,-73.987,4
40.698,-74.375,1
40.754,-73.794,2
40.68,-73.989,54
40.765,-73.784,1
40.863,-73.84,1
40.691,-73.979,3
40.745,-74.243,1
40.724,-73.98,80
40.698,-74.379,1
40.724,-73.981,87
40.951,-74.313,1
40.668,-73.763,1
40.724,-73.982,133
40.863,-73.844,1
40.724,-73.983,227
40.916,-74.076,2
40.724,-73.984,88
40.668,-73.766,1
40.916,-74.077,1
40.627,-73.961,1
40.724,-73.985,194
40.638,-73.951,1
40.735,-73.975,40
40.724,-73.986,30
40.627,-73.963,1
40.638,-73.952,4
40.704,-73.644,1
40.874,-73.837,1
40.669,-73.8,2
40.724,-73.987,34
40.735,-73.976,16
40.704,-73.645,1
40.863,-73.849,1
40.669,-73.801,1
40.766,-73.825,2
40.724,-73.988,125
40.735,-73.977,36
40.669,-73.802,1
40.724,-73.989,85
40.735,-73.978,16
40.627,-73.966,2
40.735,-73.979,47
40.627,-73.967,1
40.766,-73.828,2
40.777,-73.818,1
40.627,-73.968,4
40.638,-73.957,5
40.627,-73.969,6
40.638,-73.958,2
40.638,-73.959,1
41.198,-73.081,1
40.861,-74.09,1
40.68,-73.99,34
40.68,-73.991,3
40.691,-73.981,1
40.68,-73.992,5
40.68,-73.993,2
40.691,-73.982,9
40.68,-73.994,1
40.66,-73.651,1
40.691,-73.983,2
41.141,-73.334,1
40.691,-73.984,210
40.68,-73.995,19
40.594,-73.961,1
40.583,-73.972,1
40.68,-73.996,7
40.691,-73.985,22
40.691,-73.986,2
40.594,-73.962,1
40.68,-73.997,48
40.583,-73.974,1
40.691,-73.987,21
40.68,-73.998,16
40.765,-73.793,1
40.68,-73.999,13
40.691,-73.988,14
40.691,-73.989,22
40.724,-73.99,112
40.874,-73.841,1
40.724,-73.991,286
40.735,-73.98,102
40.724,-73.992,218
40.735,-73.981,55
40.724,-73.993,279
40.735,-73.982,32
40.765,-73.799,1
40.735,-73.983,104
40.724,-73.994,294
40.715,-73.641,1
40.627,-73.971,1
40.766,-73.832,4
40.735,-73.984,67
40.724,-73.995,109
40.638,-73.961,1
40.724,-73.996,526
40.735,-73.985,45
40.627,-73.973,1
40.724,-73.997,402
40.735,-73.986,168
40.724,-73.998,672
40.735,-73.987,49
40.627,-73.975,1
40.766,-73.836,1
40.638,-73.964,2
40.724,-73.999,296
40.735,-73.988,203
40.766,-73.837,1
40.638,-73.965,5
40.735,-73.989,232
40.638,-73.966,1
40.928,-74.115,1
40.669,-73.816,1
40.638,-73.968,1
40.691,-73.99,145
40.691,-73.991,25
40.764,-74.082,1
40.691,-73.992,31
40.691,-73.993,38
40.691,-73.994,20
40.691,-73.995,37
40.691,-73.996,101
41.13,-73.358,2
40.691,-73.997,32
40.594,-73.974,1
40.745,-74.261,1
40.691,-73.998,20
40.668,-73.78,1
40.691,-73.999,2
40.745,-74.263,1
40.594,-73.977,2
40.735,-73.99,149
40.874,-73.852,1
40.735,-73.991,156
40.863,-73.864,1
40.873,-74.138,1
40.874,-73.853,5
40.735,-73.992,277
40.863,-73.865,3
40.735,-73.993,195
40.735,-73.994,277
40.627,-73.982,1
40.668,-73.787,7
40.735,-73.995,86
40.627,-73.983,1
40.735,-73.996,97
40.638,-73.973,3
40.863,-73.869,2
40.669,-73.821,4
40.735,-73.997,83
40.669,-73.822,4
40.735,-73.998,146
40.627,-73.986,1
40.638,-73.975,1
40.735,-73.999,267
40.706,-74.104,4
40.918,-73.851,1
40.638,-73.977,1
40.918,-73.852,2
40.594,-73.981,2
40.734,-74.282,1
40.884,-74.134,1
40.594,-73.987,1
40.637,-74.262,1
40.801,-73.694,1
40.75,-73.9,1
40.627,-73.99,1
40.637,-74.264,1
40.668,-73.795,6
40.668,-73.796,26
40.627,-73.992,1
40.75,-73.902,1
40.668,-73.798,3
40.638,-73.982,1
41.298,-72.927,1
40.668,-73.799,1
40.638,-73.984,1
40.627,-73.995,1
40.75,-73.906,1
40.638,-73.985,1
40.875,-73.902,1
40.777,-73.847,1
40.777,-73.848,1
40.907,-73.872,1
40.638,-73.988,1
40.746,-73.517,1
40.638,-73.989,1
40.919,-73.901,1
40.593,-74.275,1
40.66,-73.683,1
40.594,-73.991,1
40.594,-73.992,1
40.796,-73.67,1
41.076,-73.71,1
40.796,-74.474,1
40.796,-73.673,3
40.594,-73.999,2
40.819,-74.092,1
40.796,-74.478,1
40.75,-73.91,8
40.75,-73.911,11
40.766,-73.862,1
40.766,-73.863,1
40.75,-73.912,3
40.638,-73.993,1
40.75,-73.914,2
40.875,-73.911,1
40.669,-73.842,1
40.638,-73.994,1
40.875,-73.912,1
40.629,-73.641,1
40.886,-73.902,1
40.638,-73.997,1
40.886,-73.903,2
40.638,-73.998,3
40.746,-74.328,1
40.638,-73.999,2
40.727,-73.702,2
40.886,-73.906,9
40.886,-73.907,1
40.727,-73.703,1
40.805,-73.909,2
40.79,-74,1
40.796,-74.481,2
40.79,-74.004,1
40.863,-73.89,1
40.863,-73.891,1
40.863,-73.892,1
40.863,-73.894,1
40.715,-73.681,1
40.787,-74.135,1
40.863,-73.897,1
40.874,-73.886,1
40.874,-73.887,1
40.863,-73.898,1
40.642,-73.91,1
40.999,-73.884,1
40.653,-73.9,2
40.921,-73.754,1
40.886,-73.91,3
40.886,-73.911,2
40.886,-73.912,2
40.886,-73.913,6
40.886,-73.914,3
40.778,-73.902,7
40.778,-73.903,4
40.886,-73.918,1
40.805,-73.912,1
40.609,-74.117,1
40.907,-73.898,1
40.778,-73.907,3
40.778,-73.908,2
40.805,-73.915,1
40.778,-73.909,2
40.682,-74,17
40.682,-74.001,20
40.682,-74.002,8
40.991,-73.773,1
40.682,-74.003,11
40.874,-73.891,1
40.682,-74.004,12
40.874,-73.892,3
40.682,-74.005,3
40.682,-74.006,1
40.682,-74.008,1
40.766,-73.882,1
40.672,-73.734,1
40.874,-73.895,1
40.796,-73.698,1
40.642,-73.92,2
40.726,-74,206
40.669,-73.862,2
40.75,-73.935,2
40.726,-74.001,343
40.766,-73.886,17
40.653,-73.912,1
40.669,-73.863,2
40.672,-73.739,1
40.75,-73.936,14
40.726,-74.002,282
40.766,-73.887,1
40.766,-73.888,1
40.642,-73.924,2
40.726,-74.003,150
40.75,-73.937,10
40.669,-73.864,3
40.669,-73.865,1
40.75,-73.938,3
40.642,-73.925,3
40.726,-74.004,314
40.75,-73.939,19
40.715,-73.699,1
40.726,-74.005,421
40.778,-73.911,2
40.726,-74.006,497
40.669,-73.867,4
40.727,-73.722,1
40.642,-73.928,1
40.669,-73.868,3
40.726,-74.007,299
40.778,-73.913,2
40.726,-74.008,194
40.653,-73.919,1
40.778,-73.915,2
40.726,-74.009,345
40.778,-73.919,1
40.708,-73.903,1
40.708,-73.906,1
40.682,-74.01,3
40.708,-73.908,1
40.693,-74,64
40.693,-74.001,12
40.75,-73.94,9
40.91,-73.781,1
40.766,-73.892,3
40.75,-73.941,3
40.766,-73.894,2
40.75,-73.943,2
40.766,-73.895,1
40.91,-73.784,1
40.75,-73.944,4
40.653,-73.92,1
40.726,-74.01,106
40.642,-73.932,1
40.664,-73.91,2
40.75,-73.945,10
40.737,-74,106
40.726,-74.011,11
40.664,-73.911,1
40.653,-73.922,1
40.75,-73.946,2
40.737,-74.001,209
40.75,-73.947,1
40.737,-74.002,245
40.669,-73.874,1
40.75,-73.948,7
40.669,-73.875,1
40.737,-74.003,107
40.921,-73.778,1
40.75,-73.949,30
40.737,-74.004,343
40.778,-73.921,3
40.669,-73.877,2
40.664,-73.915,1
40.778,-73.922,3
40.737,-74.005,242
40.737,-74.006,120
40.669,-73.879,1
40.757,-73.549,1
40.653,-73.928,3
40.737,-74.007,124
40.875,-73.949,1
40.664,-73.918,1
40.737,-74.008,227
40.737,-74.009,142
40.708,-73.91,1
40.708,-73.911,3
40.708,-73.913,1
40.805,-73.937,6
40.805,-73.938,7
40.708,-73.914,2
40.708,-73.915,1
40.805,-73.939,49
40.708,-73.918,2
40.75,-73.95,3
40.612,-74.01,11
40.92,-74.066,1
40.75,-73.952,7
40.642,-73.94,1
40.76,-74.227,1
40.781,-73.802,2
40.672,-73.757,6
40.75,-73.955,6
40.669,-73.882,1
40.737,-74.01,31
40.75,-73.956,1
41.046,-73.944,1
40.664,-73.921,2
40.748,-74,103
40.777,-73.897,1
40.669,-73.884,1
40.748,-74.001,68
40.777,-73.898,1
40.669,-73.885,1
40.653,-73.934,4
40.748,-74.002,172
40.653,-73.935,1
40.642,-73.946,2
40.748,-74.003,105
40.959,-74.034,1
40.748,-74.004,373
40.959,-74.035,2
40.664,-73.926,2
40.653,-73.937,2
40.748,-74.005,300
40.727,-73.743,1
40.664,-73.927,2
40.669,-73.889,1
40.748,-74.006,264
40.805,-73.94,8
40.805,-73.941,4
40.726,-74.029,1
40.748,-74.007,160
40.789,-73.925,2
40.748,-74.008,135
40.748,-74.009,31
40.7,-73.807,2
40.708,-73.92,8
40.805,-73.945,1
40.7,-73.808,17
40.708,-73.921,18
40.708,-73.922,11
40.805,-73.946,6
40.708,-73.923,5
40.805,-73.947,7
40.708,-73.924,10
40.805,-73.948,13
40.805,-73.949,3
40.708,-73.925,6
40.708,-73.926,3
40.708,-73.927,1
40.708,-73.928,2
40.708,-73.929,29
40.79,-74.044,2
40.651,-74.186,1
40.64,-74.198,1
40.78,-73.775,2
40.79,-74.049,1
40.672,-73.762,2
40.672,-73.763,2
40.982,-74.255,1
40.781,-73.811,1
40.669,-73.89,3
40.653,-73.94,2
40.781,-73.812,1
40.799,-74.2,1
40.653,-73.941,1
40.664,-73.93,1
40.669,-73.892,1
40.683,-73.757,1
40.612,-74.024,18
40.612,-74.025,1
40.726,-74.032,1
40.672,-73.769,1
40.748,-74.01,48
40.75,-73.966,1
40.642,-73.954,4
40.746,-73.575,1
40.664,-73.932,1
40.653,-73.943,2
40.726,-74.033,5
40.748,-74.011,7
40.653,-73.944,1
40.642,-73.955,1
40.664,-73.933,5
40.726,-74.034,1
40.7,-73.81,1
40.653,-73.945,1
40.746,-74.378,1
40.75,-73.969,33
40.726,-74.035,5
40.602,-73.755,2
40.726,-74.036,1
40.7,-73.811,1
40.664,-73.935,1
40.726,-74.037,1
40.706,-74.178,1
40.642,-73.958,1
40.664,-73.936,4
40.778,-73.943,5
40.642,-73.959,1
40.653,-73.948,2
40.602,-73.757,1
40.805,-73.95,6
40.664,-73.937,2
40.778,-73.944,18
40.825,-73.81,1
40.653,-73.949,1
40.933,-73.823,1
40.726,-74.039,8
40.805,-73.951,4
40.737,-74.028,4
40.778,-73.945,35
40.664,-73.939,5
40.7,-73.815,3
40.737,-74.029,52
40.778,-73.946,152
40.805,-73.952,40
40.716,-73.767,1
40.7,-73.816,4
40.778,-73.947,17
40.805,-73.953,45
40.7,-73.817,2
40.708,-73.93,5
40.805,-73.954,16
40.778,-73.948,67
40.708,-73.931,1
40.738,-73.747,1
40.789,-73.938,1
40.778,-73.949,108
40.805,-73.955,42
40.805,-73.956,6
40.708,-73.932,15
40.805,-73.957,7
40.708,-73.933,18
40.718,-74.207,1
40.708,-73.934,1
40.805,-73.958,7
40.708,-73.939,6
40.885,-74.24,1
40.75,-73.97,39
40.672,-73.774,1
40.75,-73.971,31
41.025,-73.585,2
40.75,-73.972,198
40.642,-73.96,1
40.663,-74.223,1
40.885,-73.442,1
40.75,-73.973,175
40.781,-73.821,1
40.653,-73.95,2
40.642,-73.961,2
40.75,-73.974,252
40.664,-73.94,2
40.642,-73.962,3
40.612,-74.034,4
40.653,-73.951,11
40.73,-73.632,1
40.75,-73.975,236
40.737,-74.03,25
40.726,-74.042,1
40.612,-74.035,2
40.642,-73.963,5
40.653,-73.952,2
40.75,-73.976,128
40.737,-74.031,51
40.602,-73.762,1
40.642,-73.964,1
40.664,-73.942,1
40.726,-74.043,1
40.612,-74.036,1
40.75,-73.977,189
40.737,-74.032,9
40.664,-73.943,3
40.726,-74.044,1
40.653,-73.954,2
40.737,-74.033,6
40.778,-73.95,22
40.75,-73.978,143
40.781,-73.827,1
40.642,-73.966,1
40.664,-73.944,3
40.726,-74.045,2
40.75,-73.979,342
40.778,-73.951,92
40.789,-73.94,2
40.737,-74.034,25
41.026,-73.624,2
40.726,-74.046,3
40.781,-73.828,1
40.664,-73.945,3
40.642,-73.967,2
40.653,-73.956,8
40.789,-73.941,3
40.737,-74.035,5
40.778,-73.952,87
41.026,-73.626,2
40.716,-73.773,1
40.664,-73.946,2
40.789,-73.942,1
40.737,-74.036,2
40.748,-74.025,2
40.778,-73.953,89
40.726,-74.047,9
40.653,-73.957,8
40.684,-73.806,1
40.653,-73.958,1
40.642,-73.969,2
40.726,-74.048,2
40.664,-73.947,2
40.737,-74.037,7
40.778,-73.954,155
40.789,-73.943,7
40.805,-73.96,1
40.748,-74.026,4
40.805,-73.961,1
40.789,-73.944,1
40.726,-74.049,2
40.737,-74.038,4
40.778,-73.955,112
40.748,-74.027,3
40.684,-73.807,6
40.653,-73.959,4
40.664,-73.949,1
41.026,-73.629,1
40.748,-74.028,14
40.737,-74.039,7
40.778,-73.956,130
40.805,-73.962,11
40.789,-73.946,2
40.748,-74.029,2
40.778,-73.957,96
40.805,-73.963,3
40.758,-74.416,1
40.789,-73.947,1
40.922,-73.847,1
40.805,-73.964,24
40.708,-73.94,34
40.778,-73.958,35
40.708,-73.941,24
40.778,-73.959,158
40.789,-73.948,4
40.805,-73.965,24
40.789,-73.949,10
40.708,-73.942,39
40.805,-73.966,37
40.805,-73.967,6
40.708,-73.943,33
40.805,-73.968,5
40.708,-73.944,2
40.708,-73.945,33
40.708,-73.946,39
40.708,-73.947,63
40.708,-73.948,27
40.708,-73.949,59
40.683,-73.77,1
41.06,-73.833,4
40.75,-73.98,121
40.75,-73.981,202
40.672,-73.785,1
40.75,-73.982,91
40.75,-73.983,377
40.575,-74.564,1
40.653,-73.96,1
40.726,-74.05,1
40.75,-73.984,504
40.664,-73.95,1
40.896,-74.244,1
40.737,-74.04,5
40.653,-73.961,1
40.642,-73.972,1
40.75,-73.985,149
40.896,-73.444,1
40.653,-73.962,4
40.726,-74.052,2
40.664,-73.951,1
40.75,-73.986,137
40.737,-74.041,11
40.748,-74.03,12
40.746,-73.595,1
40.653,-73.963,2
40.886,-73.972,1
40.664,-73.952,1
40.748,-74.031,20
40.75,-73.987,156
40.642,-73.974,7
40.737,-74.042,4
40.885,-74.258,1
40.664,-73.953,6
40.748,-74.032,10
40.737,-74.043,2
40.653,-73.964,6
40.75,-73.988,111
40.778,-73.96,60
40.664,-73.954,4
40.748,-74.033,2
40.789,-73.95,4
40.653,-73.965,8
40.778,-73.961,113
40.75,-73.989,50
40.789,-73.951,1
40.653,-73.966,2
40.642,-73.977,2
40.664,-73.955,3
40.778,-73.962,114
40.7,-73.831,2
40.748,-74.034,10
40.789,-73.952,1
40.642,-73.978,2
